纬度,经度,任务标价,任务号码,距离
22.53470014,113.934485,73.04691063,1,0.171406244
22.53470014,113.934485,73.04691063,2,0.172738523
22.53835813,113.9256918,72.91372919,3,0.152114278
22.55316139,114.1246391,75.06747984,4,0.178871113
22.55443044,113.8943467,72.41397368,5,0.179087411
22.55494197,113.8925648,72.3987229,6,0.175850338
22.55544624,113.8991863,72.39313509,7,0.179337081
22.55592573,113.8918949,72.3723537,8,0.174092003
22.55737888,113.9022956,72.34674744,9,0.147460723
22.55822386,114.0818804,73.97066192,10,0.171874569
22.55994522,113.9092287,72.29077039,11,0.176283055
22.56001238,113.8966855,72.27081197,12,0.171678244
22.56233651,113.9076439,72.22558846,13,0.172949025
22.56305545,113.902642,72.19932341,14,0.173355265
22.56305545,113.902642,72.19932341,15,0.172952186
22.56331309,113.9042475,72.19492902,16,0.180584538
22.56339727,113.900948,72.18822685,17,0.177711304
22.56356707,113.8834799,72.16938743,18,0.17584317
22.56370666,113.9040123,72.18439699,19,0.175698858
22.56371285,113.8906413,72.16968252,20,0.172814962
22.56381198,113.8943855,72.17027224,21,0.172314119
22.56385438,113.908109,72.18691658,22,0.1690176
22.56392369,113.9068952,72.18314639,23,0.178875302
22.56417316,113.908003,72.17847386,24,0.176708323
22.56427777,113.9017208,72.16648899,25,0.17339567
22.56437541,113.9074273,72.17229492,26,0.180501813
22.5643814,113.9089121,72.17459326,27,0.171865231
22.56483939,113.9142709,72.17253967,28,0.169446189
22.56485883,113.9045792,72.15543246,29,0.174251229
22.5650574,113.9148933,72.16811259,30,0.168564905
22.56510124,113.8858711,72.13124786,31,0.170083057
22.56548368,113.894197,72.12720296,32,0.17390369
22.56561999,113.8947079,72.12417632,33,0.165239515
22.56574903,113.8948382,72.12099225,34,0.177816369
22.56623392,113.9004497,72.1145466,35,0.173547416
22.56634249,113.8997181,72.1108918,36,0.168770251
22.56634249,113.8997181,72.1108918,37,0.171899534
22.56648854,113.8811251,72.09428651,38,0.171790912
