纬度,经度,任务标价,任务号码,距离
22.56454999,113.9857413,90.75339231,1,0.163982899
22.68502379,113.9442296,88.5466698,2,0.175635177
22.57947224,113.9581733,91.452455,3,0.161733852
22.56191994,114.2429442,79.59449119,4,0.195186744
22.5575581,113.9546803,88.3437172,5,0.178785358
22.54767187,113.9750457,89.48454878,6,0.169595067
22.49910101,113.8970712,82.60255928,7,0.20185828
22.54183235,113.9222446,87.9983732,8,0.181139842
22.52182041,113.9330121,63.92823196,9,0.316203083
22.49815378,113.9336518,80.33058039,10,0.215526074
22.54413159,114.0228115,89.78753357,11,0.161900913
22.54458961,113.9986601,91.32413083,12,0.157
22.54808582,113.9453119,90.57401793,13,0.165
22.58003474,114.1494855,84.63892119,14,0.171782417
22.54610312,114.131576,85.64054332,15,0.162843013
22.7563793,114.0421356,85.44082438,16,0.185
22.64144071,114.4227421,79.08884051,17,0.221
22.72241309,114.0671935,75.39876986,18,0.241581776
22.59920242,114.1268089,86.91779377,19,0.162800616
22.66046784,114.0747451,88.51496961,20,0.163045268
22.6383893,114.2281795,84.87801899,21,0.17398413
22.73802844,114.264097,88.64271148,22,0.192
22.61965543,114.154881,86.39760775,23,0.163773904
22.6605323,114.0252296,87.38809996,24,0.172915846
22.78729685,113.8985208,70.17381529,25,0.196982349
22.70103564,114.2442921,92.43984051,26,0.174
22.6315591,114.1223977,89.14127445,27,0.147810198
22.6417148,114.195533,85.85287277,28,0.162
22.68940336,114.3454188,84.67866309,29,0.209
22.63706781,114.06781,88.61021497,30,0.161245175
22.750664,114.378843,82.31898567,31,0.212
22.77640754,114.3095878,82.14393728,32,0.209
22.584973,113.9087399,89.13054258,33,0.180208032
22.69339571,114.1474874,86.23793728,34,0.163
22.6040497,114.0586138,92.41263083,35,0.144
22.78139876,114.3008065,82.23234051,36,0.209
22.72294122,114.2777156,88.05177599,37,0.194
22.67470711,114.2209333,84.94287277,38,0.165
22.65496375,114.2112738,85.1230878,39,0.165558733
22.73859039,113.8184493,74.15877599,40,0.183
22.71636331,114.322257,84.88656632,41,0.208
22.52522125,114.0502737,87.8577026,42,0.164710139
22.5331754,114.0831342,88.0286147,43,0.154
22.65131607,113.9332683,91.96612983,44,0.166025157
22.73646133,114.2807148,85.19325391,45,0.209857584
22.74300109,113.9950401,87.07269535,46,0.178
22.63768144,114.0443458,91.05837147,47,0.149536241
22.75139338,114.0262399,86.23280825,48,0.182
22.68447006,114.000085,90.13642115,49,0.158
22.68925187,113.814323,74.94101814,50,0.188819476
22.75600203,113.8513612,73.99177599,51,0.184
22.73351486,113.8313704,74.89168638,52,0.179531043
22.7778578,113.9170043,76.66905019,53,0.193
22.70736075,113.8120249,74.65073309,54,0.188524247
22.70466497,113.9726899,89.84808244,55,0.166
22.65204961,114.0535937,91.89696954,56,0.146
22.67765287,113.8301156,81.79845037,57,0.207393543
22.6076404,113.8692128,89.47473155,58,0.178864425
22.61177508,114.0380587,93.03713083,59,0.143
22.56357979,113.8975626,82.48067028,60,0.215494956
22.670522,113.9235611,92.32348567,61,0.164
22.70038707,113.8449026,79.12621148,62,0.18
22.70743279,113.9300131,89.35279212,63,0.172
22.6335575,113.8513604,89.05296954,64,0.18
22.66919267,114.0384117,91.42819535,65,0.149
22.60062024,113.8563262,86.93531204,66,0.192039292
22.70700814,114.0967766,88.10314696,67,0.167
22.5819603,113.8879717,90.03953356,68,0.173096104
22.77144241,113.8544841,67.1133235,69,0.18993508
23.16769035,113.6651728,24.3835018,70,0.213
23.16549805,113.3875901,71.94832438,71,0.143
23.1607019,113.3376445,72.17802825,72,0.16370419
23.16580391,113.4191439,69.87530157,73,0.157689435
23.13107161,113.3505471,76.70625266,74,0.136547831
23.12702264,113.4136015,64.1132097,75,0.186998431
23.13716167,113.3902718,72.61600925,76,0.14487872
23.18611685,113.5974857,21.58334051,77,0.225
23.13865393,113.3730377,75.12207135,78,0.136584148
23.19967301,113.406847,70.25696954,79,0.156
23.12248087,113.3611249,74.98182438,80,0.131
23.20013915,113.374909,73.41177599,81,0.149
23.10125022,113.5484367,39.01296954,82,0.217
23.12486646,113.5614453,34.83351793,83,0.221
23.1059667,113.4906238,41.85795965,84,0.237549256
23.13341367,113.3319971,66.28534658,85,0.194310549
23.11593032,113.4204891,70.32884051,86,0.152
23.10977774,113.4534648,60.16975514,87,0.171051158
23.19090473,113.4492017,67.07837277,88,0.172
23.07978943,113.429745,61.77414696,89,0.168
23.11810119,113.5442171,40.04482438,90,0.217
23.14872294,113.5152914,45.85517922,91,0.209
23.0479764,113.2892933,74.26390503,92,0.142
23.11114068,113.2782409,77.36209857,93,0.128
22.9345908,113.4167995,53.65532438,94,0.211
23.39690863,113.3475114,55.16606632,95,0.224
23.09138071,113.5316771,41.64385664,96,0.213
23.21565299,113.3005692,74.81863083,97,0.145
22.96161306,113.4432946,53.51274471,98,0.216025468
23.21145416,113.2581788,62.78740877,99,0.208693767
23.29451408,113.3313063,69.0196147,100,0.174
23.23745771,113.2042653,69.51037277,101,0.172
23.37184576,113.3603993,61.41527599,102,0.217
23.38627895,113.410599,46.68246954,103,0.231
23.25587234,113.3178876,70.93290628,104,0.16318801
23.08029132,113.2042061,72.05998567,105,0.152
23.25231339,113.2640936,69.88179212,106,0.158
23.26171738,113.2758988,68.63005796,107,0.16553412
23.19700958,113.2426878,70.93919267,108,0.161774523
23.23376317,113.2234607,69.32192115,109,0.164
22.75113104,113.5829448,65.12196297,110,0.229435786
23.11295796,113.2185961,73.44564696,111,0.146
23.13119161,113.2753151,77.04215496,112,0.13016144
23.13792242,113.2998647,62.01636072,113,0.217581568
22.89041874,113.4621012,57.52678737,114,0.23345236
23.19965405,113.3471287,76.11872761,115,0.143
23.17452179,113.3590439,76.96875986,116,0.139
22.82848756,113.5173389,41.5880872,117,0.242695485
22.77403434,113.5634849,56.82806632,118,0.233
22.76096874,113.5670518,63.30714696,119,0.233
23.06852755,113.2597753,74.96253051,120,0.138422588
23.37610417,113.2119597,53.53123292,121,0.23068319
22.80716389,113.5553738,49.37540311,122,0.249528023
22.73722496,113.49332,36.93680825,123,0.241
23.14303396,113.2257528,74.4577142,124,0.142660766
23.45661008,113.188028,57.6060876,125,0.224977838
23.33873201,113.287509,68.31919535,126,0.192
23.46880474,113.1631655,46.97311874,127,0.274414417
23.37477577,113.1788848,57.16416309,128,0.219
23.13697262,113.2511805,76.48242115,129,0.132
23.45419359,113.2831702,40.45375825,130,0.213739801
23.39784863,113.2148541,37.97336057,131,0.307350876
22.71023017,113.5528912,54.34985664,132,0.248
23.33887144,113.1110649,53.94272761,133,0.233
23.4739307,113.2286618,60.0151147,134,0.209
23.4153625,113.2559812,48.56251793,135,0.213
23.07562227,113.2882907,76.21351793,136,0.133
